김도 (kimdoe)	서브노티카 빌로우제로	시청자 4,028명	Subnautica: Below Zero	2022-09-27 17:34:10.051387
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 3,868명	World of Warcraft	2022-09-27 17:34:10.051387
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 3,374명	Just Chatting	2022-09-27 17:34:10.051387
앰비션_ (lol_ambition)	24연승시 점수복구	시청자 2,610명	League of Legends	2022-09-27 17:34:10.051387
피닉스박1 (xkwhd)	발악귀	시청자 2,252명	VALORANT	2022-09-27 17:34:10.051387
소풍왔니 (yumyumyu77)	리치왕의 재붕노 첫 시작! 방가방가소붕	시청자 1,744명	World of Warcraft	2022-09-27 17:34:10.051387
중력 (jungryeok)	중력팀 비방연습후 깨달음..	시청자 1,626명	Just Chatting	2022-09-27 17:34:10.051387
김뿡_ (bbonge_)	뿡) 탑 호디르	시청자 1,457명	League of Legends	2022-09-27 17:34:10.051387
이초홍 (h920103)	@_@	시청자 1,355명	Just Chatting	2022-09-27 17:34:10.051387
두니주니 (dunizuni)	ㅎㅇ	시청자 1,248명	Teamfight Tactics	2022-09-27 17:34:10.051387
히렌히 (hyren7)	리치킹	시청자 1,222명	World of Warcraft	2022-09-27 17:34:10.051387
스틸로 (steelohs)	파파존스 피자 먹방	시청자 1,124명	Just Chatting	2022-09-27 17:34:10.051387
Rb0f	DRX Rb / 휴가	시청자 1,060명	VALORANT	2022-09-27 17:34:10.051387
박삐삐__ (smpk9604)	삐하~	시청자 1,023명	Just Chatting	2022-09-27 17:34:10.051387
포셔 (portialyn)	-로- 조금 하다가 끔	시청자 1,014명	Lost Ark	2022-09-27 17:34:10.051387
21번째에서 오류				 2022-09-27 17:34:10.051387
22번째에서 오류				 2022-09-27 17:34:10.051387
헤징 (hejin0_0)	롤체륑	시청자 829명	Teamfight Tactics	2022-09-27 17:34:10.051387
설백_ (snow_hite)	[설백] 오른쪽 아래 !편집자	시청자 763명	Just Chatting	2022-09-27 17:34:10.051387
푸린_ (rngudwnswkd)	강지팀 VS 너불팀 스크림!	시청자 746명	Just Chatting	2022-09-27 17:34:10.051387
찬우정 (jcw970)	(진심)챌린저 달리기 2일차	시청자 746명	League of Legends	2022-09-27 17:34:10.051387
캡틴잭 (hwkang2)	오르골 8개 모아서 스탯 50 받는 극한의 수직충	시청자 704명	Lost Ark	2022-09-27 17:34:10.051387
인섹_ (insec13)	대기열180만갓겜	시청자 612명	League of Legends	2022-09-27 17:34:10.051387
배돈 (baedony)	리치왕의분노 태어나서 처음 합니다	시청자 606명	World of Warcraft	2022-09-27 17:34:10.051387
아리스마나 (alicemana_v)	하이루	시청자 598명	Just Chatting	2022-09-27 17:34:10.051387
액시스마이콜 (sn400ja)	정글이 합류해야 하는게임은 진게임이다	시청자 574명	League of Legends	2022-09-27 17:34:10.051387
크라니쉬 (kranichhs)	젠지 하스스톤 프로그램 !부트캠프 / 내일 나스리아 미니팩 출시	시청자 564명	Hearthstone	2022-09-27 17:34:10.051387
김하선 (kimhasun)	어서와 낮방은 처음이지?	시청자 541명	Just Chatting	2022-09-27 17:34:10.051387
34번째에서 오류				 2022-09-27 17:34:10.051387
칸데르니아 (jmjdoc)	발키리 엘리시움	시청자 529명	Valkyrie Elysium	2022-09-27 17:34:10.051387
철면수심 (109ace)	허준이 되어 사람 살리기	시청자 520명	Bio Inc. Redemption	2022-09-27 17:34:10.051387
설소영 (mobeom17)	다크악셀 없이 살기 4일차 (살만함)	시청자 510명	Lost Ark	2022-09-27 17:34:10.051387
38번째에서 오류				 2022-09-27 17:34:10.051387
진격캐넌 (xorhkd321)	이세계 택티컬대비 신궁 200만들기	시청자 483명	MapleStory	2022-09-27 17:34:10.051387
