침착맨 (zilioner)	침펄풍 러닝 설명회 (후원NO 구독갱신NO)	시청자 1.4만명	Just Chatting	2022-11-29 18:45:04.804710
비챤_ (viichan6)	화요일의 핫걸	시청자 9,992명	Just Chatting	2022-11-29 18:45:04.804710
괴물쥐123 (tmxk319)	불꽃마을 마지막날	시청자 9,488명	Minecraft	2022-11-29 18:45:04.804710
파카9999 (paka9999)	강철심장 티모	시청자 7,100명	League of Legends	2022-11-29 18:45:04.804710
징버거 (jingburger)	모시깽	시청자 5,470명	Just Chatting	2022-11-29 18:45:04.804710
서새봄냥 (saddummy)	서새봄] Drops on WOW용군단 확장팩 뭐가 바꼈을까? 만랩까지 가자! 오전8시 출시!	시청자 4,899명	World of Warcraft	2022-11-29 18:45:04.804710
김진우 (jinu6734)	[ 지누 ]	시청자 4,939명	Just Chatting	2022-11-29 18:45:04.804710
김도 (kimdoe)	소도둑	시청자 4,925명	World of Warcraft	2022-11-29 18:45:04.804710
소풍왔니 (yumyumyu77)	불꽃마을 뉴비 'ㅅ' 마지막날이라네요	시청자 3,221명	Minecraft	2022-11-29 18:45:04.804710
김남봉 (kimnamsoon)	불꽃마을 최후의 날	시청자 2,859명	Minecraft	2022-11-29 18:45:04.804710
강지 (rkdwl12)	불꽃서버 마지막 ʕ◉ᴥ◉ʔ	시청자 2,284명	Minecraft	2022-11-29 18:45:04.804710
똘똘똘이_ (jungtaejune)	철판 김치 볶음밥	시청자 2,139명	Just Chatting	2022-11-29 18:45:04.804710
인간젤리 (ses836)	인간젤리 와우확팩 용군단 말리고스 키우기	시청자 1,865명	World of Warcraft	2022-11-29 18:45:04.804710
액시스마이콜 (sn400ja)	니케 화률쥬좍?	시청자 1,487명	Goddess of Victory: Nikke	2022-11-29 18:45:04.804710
무굴 (moogrr1211)	무굴| 98%를 위한 용군단 오픈,  다시 아제로스로	시청자 1,480명	World of Warcraft	2022-11-29 18:45:04.804710
유은_ (ueun04)	쟈기 왔엉?*^0^* 합법 쟈기의 날 (너무징그러우면 벤)	시청자 1,417명	Just Chatting	2022-11-29 18:45:04.804710
승우아빠_ (swab85)	오늘의목표 : 영던파밍 / 스트리머공격대 함께하실 스트리머 모집중	시청자 1,254명	World of Warcraft	2022-11-29 18:45:04.804710
대용2 (rbwls1245)	무슨 축제가 열리고있는건가요? 아뇨 장례식입니다.	시청자 1,252명	Goddess of Victory: Nikke	2022-11-29 18:45:04.804710
헤징 (hejin0_0)	태초뽑으면 구독권뿌림30트째	시청자 1,195명	StarCraft	2022-11-29 18:45:04.804710
플러리 (flurry1989)	마을 둘러보기	시청자 1,312명	Minecraft	2022-11-29 18:45:04.804710
감블러 (9ambler)	봉인 풀린 주둥이	시청자 1,090명	음악	2022-11-29 18:45:04.804710
푸린_ (rngudwnswkd)	공포게임 합방!	시청자 1,098명	The Dark Pictures Anthology: The Devil in Me	2022-11-29 18:45:04.804710
베릴22 (beryl0202)	dd	시청자 1,015명	Honkai Impact 3rd	2022-11-29 18:45:04.804710
류제홍_ (wpghd321)	화이팅..	시청자 1,000명	VALORANT	2022-11-29 18:45:04.804710
배돈 (baedony)	안녕하세요	시청자 1,035명	Just Chatting	2022-11-29 18:45:04.804710
포셔 (portialyn)	-로- 숙제 나머지 ㄱ	시청자 965명	Lost Ark	2022-11-29 18:45:04.804710
피닉스박1 (xkwhd)	불꽃서버 마지막화	시청자 829명	Minecraft	2022-11-29 18:45:04.804710
라마1004 (lllllamar)	🍒진짜 태초 님만오면 클🍒	시청자 941명	StarCraft	2022-11-29 18:45:04.804710
크라니쉬 (kranichhs)	반갑스냅	시청자 865명	Marvel Snap	2022-11-29 18:45:04.804710
유우양 (yoowooyang)	[V] 패치 끝 아시아/중국 서버 분리됨. 탈아시아 중국	시청자 835명	Escape from Tarkov	2022-11-29 18:45:04.804710
세구는700 (foxy9fps)	DRX Foxy9ㅣHi GES 우승하고 왔슴다	시청자 829명	VALORANT	2022-11-29 18:45:04.804710
귀마개 (falgwang)	드롭스 ON / Happy birthday!!	시청자 796명	World of Warcraft	2022-11-29 18:45:04.804710
꼴랑이임 (rhffkddl96)	즐거운 화요일	시청자 798명	Genshin Impact	2022-11-29 18:45:04.804710
멀럭킹 (sizer0346)	엑스컴1 롱워 임파철인 12지구	시청자 774명	XCOM: Enemy Unknown	2022-11-29 18:45:04.804710
세아스토리 (sea_vtuber)	오늘 무료게임 시참 있어요.	시청자 724명	Mad Adventures	2022-11-29 18:45:04.804710
플레임__ (flamekr)	챌린저 가는중(m220 시작) 솔랭 점수X10500원 미션	시청자 716명	League of Legends	2022-11-29 18:45:04.804710
실프_ (silphtv)	발로란트 5인큥큥큥 / !편집자	시청자 704명	VALORANT	2022-11-29 18:45:04.804710
칸데르니아 (jmjdoc)	발헤임 미스트랜드 베타	시청자 661명	Valheim	2022-11-29 18:45:04.804710
진수0 (jinsooo0)	포켓몬 실전 찍먹	시청자 613명	Pokémon Scarlet/Violet	2022-11-29 18:45:04.804710
인섹_ (insec13)	집탈출하기	시청자 562명	Hades	2022-11-29 18:45:04.804710
철면수심 (109ace)	화요일의 철면수심	시청자 565명	Just Chatting	2022-11-29 18:45:04.804710
김달걀 (itsmejanna)	프리시즌 얼마나 구린내가 나는데?	시청자 528명	League of Legends	2022-11-29 18:45:04.804710
탑가렌 (yugyungwoo)	탑가렌 ] 드롭스!! 가즈아 용!군!단 D-day	시청자 533명	World of Warcraft	2022-11-29 18:45:04.804710
JiuDau	[drops] brel bus... | !discord !armory !youtube	시청자 491명	Lost Ark	2022-11-29 18:45:04.804710
_쮸즈_ (akajian)	wow 용군단 open! 드롭스! 렙업 스피드런 참여했읍니당~ 흥해라 용군단! Hi~(와린이 신규유입 드루와)	시청자 477명	World of Warcraft	2022-11-29 18:45:04.804710
리크리에이터 (rogoer)	불타는 니케와 관련 이야기 [승리의 여신:니케]	시청자 482명	Goddess of Victory: Nikke	2022-11-29 18:45:04.804710
전게 (qaz6353)	크아아아! 가자아!! / KR0002, Total Rank#1	시청자 452명	Conqueror's Blade	2022-11-29 18:45:04.804710
찬우정 (jcw970)	프리시즌 정글	시청자 440명	League of Legends	2022-11-29 18:45:04.804710
박틸다 (p_tilda)	야근틸다	시청자 428명	Just Chatting	2022-11-29 18:45:04.804710
스피드소닉 (dragon3652)	몬헌 선브 요번 업데이트 할게 많고 재밌습니다	시청자 428명	Monster Hunter Rise	2022-11-29 18:45:04.804710
침착맨 (zilioner)	침펄풍 러닝 설명회 (후원NO 구독갱신NO)	시청자 1.4만명	Just Chatting	2022-11-29 18:50:04.751279
비챤_ (viichan6)	화요일의 핫걸	시청자 9,992명	Just Chatting	2022-11-29 18:50:04.751279
괴물쥐123 (tmxk319)	불꽃마을 마지막날	시청자 9,585명	Minecraft	2022-11-29 18:50:04.751279
파카9999 (paka9999)	강철심장 티모	시청자 7,674명	League of Legends	2022-11-29 18:50:04.751279
징버거 (jingburger)	스포 훈수맨 주의	시청자 6,054명	Pokémon Scarlet/Violet	2022-11-29 18:50:04.751279
김진우 (jinu6734)	[ 지누 ]	시청자 5,121명	Just Chatting	2022-11-29 18:50:04.751279
서새봄냥 (saddummy)	서새봄] Drops on WOW용군단 확장팩 뭐가 바꼈을까? 만랩까지 가자! 오전8시 출시!	시청자 4,982명	World of Warcraft	2022-11-29 18:50:04.751279
김도 (kimdoe)	소도둑	시청자 5,007명	World of Warcraft	2022-11-29 18:50:04.751279
소풍왔니 (yumyumyu77)	불꽃마을 뉴비 'ㅅ' 마지막날이라네요	시청자 3,375명	Minecraft	2022-11-29 18:50:04.751279
