우왁굳 (woowakgood)	축구왕 왁돌이	시청자 1.3만명	FIFA 23	2022-09-27 18:22:30.669431
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 8,582명	VRChat	2022-09-27 18:22:30.669431
랄로 (aba4647)	와끼얏호우	시청자 7,065명	World of Warcraft	2022-09-27 18:22:30.669431
러너교 (runner0608)	안녕하세요	시청자 5,108명	Just Chatting	2022-09-27 18:22:30.669431
김도 (kimdoe)	서브노티카 빌로우제로	시청자 5,016명	Subnautica: Below Zero	2022-09-27 18:22:30.669431
괴물쥐123 (tmxk319)	발낳대 전 스크림	시청자 4,766명	VALORANT	2022-09-27 18:22:30.669431
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 4,539명	World of Warcraft	2022-09-27 18:22:30.669431
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 4,457명	Just Chatting	2022-09-27 18:22:30.669431
따효니 (ddahyoni)	C9 DDaHyoNi ㅅㅡ크림	시청자 3,795명	VALORANT	2022-09-27 18:22:30.669431
침착맨 (zilioner)	침&펄 저녁식사 먹기 (구독후원음성X)	시청자 3,592명	Just Chatting	2022-09-27 18:22:30.669431
탬탬버린 (2chamcham2)	˗ˋˏ오늘은,,,,꼭 1인분을 하자,,,ˎˊ˗  ٩(●'▿'●)۶ *	시청자 3,402명	VALORANT	2022-09-27 18:22:30.669431
앰비션_ (lol_ambition)	24연승시 점수복구	시청자 2,767명	League of Legends	2022-09-27 18:22:30.669431
악어 (jdm2088)	6시 발로란트 강지팀 vs 망개팀 스크림 <잠을 자도 피곤하다>	시청자 2,306명	VALORANT	2022-09-27 18:22:30.669431
마왕루야_ (maoruya)	오늘 스크림에서는 새로운 캐릭터를 보여줄 예정!	시청자 2,065명	VALORANT	2022-09-27 18:22:30.669431
푸린_ (rngudwnswkd)	저녁6시 강지팀 VS 망개팀 스크림!	시청자 1,688명	Just Chatting	2022-09-27 18:22:30.669431
두니주니 (dunizuni)	ㅎㅇ	시청자 1,382명	Teamfight Tactics	2022-09-27 18:22:30.669431
